iter	Passed	Remaining
0	156	46939
1	177	26458
2	198	19696
3	219	16235
4	238	14078
5	257	12597
6	276	11570
7	294	10734
8	311	10068
9	328	9529
10	347	9142
11	368	8833
12	388	8585
13	409	8372
14	430	8174
15	448	7965
16	469	7818
17	488	7654
18	507	7504
19	527	7379
20	545	7246
21	563	7123
22	586	7067
23	604	6954
24	624	6872
25	642	6766
26	661	6684
27	678	6592
28	697	6518
29	715	6436
30	733	6362
31	751	6291
32	770	6236
33	790	6183
34	808	6119
35	827	6067
36	847	6023
37	866	5975
38	884	5916
39	903	5873
40	921	5823
41	941	5785
42	960	5737
43	978	5692
44	996	5645
45	1014	5599
46	1032	5556
47	1050	5514
48	1067	5469
49	1084	5424
50	1102	5382
51	1120	5343
52	1138	5306
53	1156	5268
54	1175	5235
55	1194	5204
56	1211	5165
57	1229	5129
58	1248	5101
59	1266	5064
60	1286	5040
61	1306	5015
62	1323	4980
63	1341	4947
64	1359	4916
65	1379	4889
66	1396	4856
67	1413	4824
68	1433	4799
69	1451	4769
70	1476	4762
71	1495	4734
72	1513	4707
73	1533	4682
74	1552	4657
75	1570	4627
76	1592	4612
77	1626	4628
78	1643	4597
79	1661	4569
80	1680	4542
81	1699	4517
82	1716	4488
83	1734	4461
84	1752	4432
85	1770	4406
86	1789	4381
87	1807	4354
88	1824	4326
89	1842	4299
90	1860	4271
91	1878	4247
92	1896	4221
93	1914	4194
94	1933	4171
95	1950	4143
96	1970	4123
97	1991	4105
98	2011	4084
99	2032	4065
100	2052	4044
101	2070	4019
102	2090	3999
103	2109	3976
104	2130	3956
105	2154	3942
106	2175	3924
107	2194	3900
108	2216	3883
109	2236	3863
110	2258	3845
111	2279	3826
112	2297	3801
113	2319	3784
114	2338	3762
115	2359	3742
116	2381	3724
117	2401	3704
118	2422	3684
119	2441	3662
120	2461	3641
121	2480	3618
122	2505	3605
123	2532	3595
124	2554	3576
125	2577	3558
126	2597	3538
127	2616	3516
128	2639	3498
129	2659	3478
130	2680	3457
131	2701	3438
132	2720	3416
133	2741	3395
134	2762	3376
135	2782	3355
136	2805	3338
137	2831	3323
138	2856	3308
139	2882	3294
140	2907	3278
141	2929	3259
142	2949	3238
143	2970	3217
144	2991	3197
145	3014	3179
146	3037	3161
147	3059	3141
148	3080	3122
149	3101	3101
150	3127	3086
151	3147	3064
152	3169	3045
153	3190	3024
154	3212	3005
155	3236	2987
156	3258	2967
157	3279	2947
158	3298	2924
159	3316	2902
160	3335	2879
161	3356	2859
162	3375	2836
163	3394	2815
164	3414	2793
165	3436	2773
166	3457	2753
167	3478	2732
168	3498	2711
169	3515	2688
170	3533	2665
171	3555	2646
172	3574	2624
173	3596	2604
174	3617	2584
175	3638	2563
176	3660	2543
177	3680	2522
178	3699	2500
179	3722	2481
180	3744	2461
181	3767	2442
182	3789	2422
183	3808	2401
184	3828	2379
185	3850	2359
186	3869	2338
187	3889	2317
188	3910	2296
189	3929	2274
190	3949	2253
191	3968	2232
192	3987	2210
193	4008	2190
194	4028	2169
195	4048	2148
196	4070	2128
197	4092	2108
198	4111	2086
199	4130	2065
200	4149	2043
201	4167	2022
202	4189	2001
203	4209	1981
204	4231	1961
205	4253	1940
206	4275	1920
207	4297	1900
208	4317	1880
209	4338	1859
210	4357	1837
211	4376	1816
212	4397	1796
213	4417	1775
214	4438	1754
215	4458	1733
216	4477	1712
217	4497	1691
218	4517	1670
219	4537	1649
220	4557	1629
221	4577	1608
222	4599	1588
223	4618	1566
224	4637	1545
225	4658	1525
226	4678	1504
227	4699	1483
228	4720	1463
229	4738	1442
230	4758	1421
231	4778	1400
232	4799	1379
233	4821	1359
234	4841	1339
235	4861	1318
236	4879	1297
237	4902	1277
238	4923	1256
239	4943	1235
240	4963	1215
241	4982	1194
242	5003	1173
243	5025	1153
244	5046	1132
245	5068	1112
246	5089	1092
247	5109	1071
248	5128	1050
249	5149	1029
250	5169	1009
251	5192	989
252	5212	968
253	5232	947
254	5254	927
255	5274	906
256	5296	886
257	5317	865
258	5338	845
259	5359	824
260	5378	803
261	5395	782
262	5414	761
263	5434	741
264	5455	720
265	5476	700
266	5496	679
267	5520	659
268	5545	639
269	5566	618
270	5586	597
271	5606	577
272	5628	556
273	5651	536
274	5673	515
275	5696	495
276	5718	474
277	5745	454
278	5769	434
279	5791	413
280	5811	392
281	5832	372
282	5850	351
283	5871	330
284	5892	310
285	5912	289
286	5931	268
287	5957	248
288	5978	227
289	6000	206
290	6022	186
291	6052	165
292	6072	145
293	6091	124
294	6110	103
295	6132	82
296	6151	62
297	6173	41
298	6196	20
299	6216	0
